x,y,height
2.666666666666666,2.333333333333333,0.964954
3.0,2.333333333333333,0.797354
3.333333333333332,2.333333333333333,0.692105
3.666666666666666,2.333333333333333,0.660453
4.0,2.333333333333333,0.619908
4.333333333333332,2.333333333333333,0.485272
4.666666666666666,2.333333333333333,0.261298
5.0,2.333333333333333,0.04913
-5.0,2.666666666666666,0.17203
-4.666666666666667,2.666666666666666,0.239021
-4.333333333333333,2.666666666666666,0.338155
-4.0,2.666666666666666,0.483003
-3.666666666666667,2.666666666666666,0.659357
-3.3333333333333335,2.666666666666666,0.82748
-3.0,2.666666666666666,0.944329
-2.666666666666667,2.666666666666666,0.987942
-2.3333333333333335,2.666666666666666,0.964954
-2.0,2.666666666666666,0.897488
-1.666666666666667,2.666666666666666,0.803467
-1.3333333333333335,2.666666666666666,0.688659
-1.0,2.666666666666666,0.556176
-0.666666666666667,2.666666666666666,0.4218
-0.3333333333333339,2.666666666666666,0.3177
0.0,2.666666666666666,0.278077
0.33333333333333304,2.666666666666666,0.3177
0.6666666666666661,2.666666666666666,0.4218
1.0,2.666666666666666,0.556176
1.333333333333333,2.666666666666666,0.688659
1.666666666666666,2.666666666666666,0.803467
2.0,2.666666666666666,0.897488
2.333333333333333,2.666666666666666,0.964954
2.666666666666666,2.666666666666666,0.987942
3.0,2.666666666666666,0.944329
3.333333333333332,2.666666666666666,0.82748
3.666666666666666,2.666666666666666,0.659357
4.0,2.666666666666666,0.483003
4.333333333333332,2.666666666666666,0.338155
4.666666666666666,2.666666666666666,0.239021
5.0,2.666666666666666,0.17203
-5.0,3.0,0.266883
-4.666666666666667,3.0,0.204483
-4.333333333333333,3.0,0.189684
-4.0,3.0,0.334033
-3.666666666666667,3.0,0.616085
-3.3333333333333335,3.0,0.891006
-3.0,3.0,1.010349
-2.666666666666667,3.0,0.944329
-2.3333333333333335,3.0,0.797354
-2.0,3.0,0.705477
-1.666666666666667,3.0,0.711916
-1.3333333333333335,3.0,0.735297
-1.0,3.0,0.658308
-0.666666666666667,3.0,0.452569
-0.3333333333333339,3.0,0.221772
0.0,3.0,0.12058
0.33333333333333304,3.0,0.221772
0.6666666666666661,3.0,0.452569
1.0,3.0,0.658308
1.333333333333333,3.0,0.735297
1.666666666666666,3.0,0.711916
2.0,3.0,0.705477
2.333333333333333,3.0,0.797354
2.666666666666666,3.0,0.944329
3.0,3.0,1.010349
3.333333333333332,3.0,0.891006
3.666666666666666,3.0,0.616085
4.0,3.0,0.334033
4.333333333333332,3.0,0.189684
4.666666666666666,3.0,0.204483
5.0,3.0,0.266883
-5.0,3.333333333333332,0.239258
-4.666666666666667,3.333333333333332,0.177917
-4.333333333333333,3.333333333333332,0.159176
-4.0,3.333333333333332,0.285974
-3.666666666666667,3.333333333333332,0.539106
-3.3333333333333335,3.333333333333332,0.786028
-3.0,3.333333333333332,0.891006
-2.666666666666667,3.333333333333332,0.82748
-2.3333333333333335,3.333333333333332,0.692105
-2.0,3.333333333333332,0.610153
-1.666666666666667,3.333333333333332,0.62087
-1.3333333333333335,3.333333333333332,0.648373
-1.0,3.333333333333332,0.583526
-0.666666666666667,3.333333333333332,0.399171
-0.3333333333333339,3.333333333333332,0.190014
0.0,3.333333333333332,0.098007
0.33333333333333304,3.333333333333332,0.190014
0.6666666666666661,3.333333333333332,0.399171
1.0,3.333333333333332,0.583526
1.333333333333333,3.333333333333332,0.648373
1.666666666666666,3.333333333333332,0.62087
2.0,3.333333333333332,0.610153
2.333333333333333,3.333333333333332,0.692105
2.666666666666666,3.333333333333332,0.82748
3.0,3.333333333333332,0.891006
3.333333333333332,3.333333333333332,0.786028
3.666666666666666,3.333333333333332,0.539106
4.0,3.333333333333332,0.285974
4.333333333333332,3.333333333333332,0.159176
4.666666666666666,3.333333333333332,0.177917
5.0,3.333333333333332,0.239258
-5.0,3.666666666666666,0.10134
-4.666666666666667,3.666666666666666,0.162679
-4.333333333333333,3.666666666666666,0.243249
-4.0,3.666666666666666,0.339145
-3.666666666666667,3.666666666666666,0.44192
-3.3333333333333335,3.666666666666666,0.539106
-3.0,3.666666666666666,0.616085
-2.666666666666667,3.666666666666666,0.659357
-2.3333333333333335,3.666666666666666,0.660453
-2.0,3.666666666666666,0.619028
-1.666666666666667,3.666666666666666,0.543612
-1.3333333333333335,3.666666666666666,0.449483
-1.0,3.666666666666666,0.354534
-0.666666666666667,3.666666666666666,0.275016
-0.3333333333333339,3.666666666666666,0.222806
0.0,3.666666666666666,0.204688
0.33333333333333304,3.666666666666666,0.222806
0.6666666666666661,3.666666666666666,0.275016
1.0,3.666666666666666,0.354534
1.333333333333333,3.666666666666666,0.449483
1.666666666666666,3.666666666666666,0.543612
2.0,3.666666666666666,0.619028
2.333333333333333,3.666666666666666,0.660453
2.666666666666666,3.666666666666666,0.659357
3.0,3.666666666666666,0.616085
3.333333333333332,3.666666666666666,0.539106
3.666666666666666,3.666666666666666,0.44192
4.0,3.666666666666666,0.339145
4.333333333333332,3.666666666666666,0.243249
4.666666666666666,3.666666666666666,0.162679
5.0,3.666666666666666,0.10134
-5.0,4.0,-0.03731
-4.666666666666667,4.0,0.145285
-4.333333333333333,4.0,0.323591
-4.0,4.0,0.38742
-3.666666666666667,4.0,0.339145
-3.3333333333333335,4.0,0.285974
-3.0,4.0,0.334033
-2.666666666666667,4.0,0.483003
-2.3333333333333335,4.0,0.619908
-2.0,4.0,0.619384
-1.666666666666667,4.0,0.459277
-1.3333333333333335,4.0,0.245382
-1.0,4.0,0.121775
-0.666666666666667,4.0,0.147684
-0.3333333333333339,4.0,0.25239
0.0,4.0,0.308058
0.33333333333333304,4.0,0.25239
0.6666666666666661,4.0,0.147684
1.0,4.0,0.121775
1.333333333333333,4.0,0.245382
1.666666666666666,4.0,0.459277
2.0,4.0,0.619384
2.333333333333333,4.0,0.619908
2.666666666666666,4.0,0.483003
3.0,4.0,0.334033
3.333333333333332,4.0,0.285974
3.666666666666666,4.0,0.339145
4.0,4.0,0.38742
4.333333333333332,4.0,0.323591
4.666666666666666,4.0,0.145285
5.0,4.0,-0.03731
-5.0,4.333333333333332,-0.06814
-4.666666666666667,4.333333333333332,0.111554
-4.333333333333333,4.333333333333332,0.281322
-4.0,4.333333333333332,0.323591
-3.666666666666667,4.333333333333332,0.243249
-3.3333333333333335,4.333333333333332,0.159176
-3.0,4.333333333333332,0.189684
-2.666666666666667,4.333333333333332,0.338155
-2.3333333333333335,4.333333333333332,0.485272
-2.0,4.333333333333332,0.49614
-1.666666666666667,4.333333333333332,0.344546
-1.3333333333333335,4.333333333333332,0.140197
-1.0,4.333333333333332,0.033297
-0.666666666666667,4.333333333333332,0.083138
-0.3333333333333339,4.333333333333332,0.210294
0.0,4.333333333333332,0.275237
0.33333333333333304,4.333333333333332,0.210294
0.6666666666666661,4.333333333333332,0.083138
1.0,4.333333333333332,0.033297
1.333333333333333,4.333333333333332,0.140197
1.666666666666666,4.333333333333332,0.344546
2.0,4.333333333333332,0.49614
2.333333333333333,4.333333333333332,0.485272
2.666666666666666,4.333333333333332,0.338155
3.0,4.333333333333332,0.189684
3.333333333333332,4.333333333333332,0.159176
3.666666666666666,4.333333333333332,0.243249
4.0,4.333333333333332,0.323591
4.333333333333332,4.333333333333332,0.281322
4.666666666666666,4.333333333333332,0.111554
5.0,4.333333333333332,-0.06814
-5.0,4.666666666666666,0.018805
-4.666666666666667,4.666666666666666,0.063171
-4.333333333333333,4.666666666666666,0.111554
-4.0,4.666666666666666,0.145285
-3.666666666666667,4.666666666666666,0.162679
-3.3333333333333335,4.666666666666666,0.177917
-3.0,4.666666666666666,0.204483
-2.666666666666667,4.666666666666666,0.239021
-2.3333333333333335,4.666666666666666,0.261298
-2.0,4.666666666666666,0.251075
-1.666666666666667,4.666666666666666,0.206879
-1.3333333333333335,4.666666666666666,0.149456
-1.0,4.666666666666666,0.106347
-0.666666666666667,4.666666666666666,0.091051
-0.3333333333333339,4.666666666666666,0.095104
0.0,4.666666666666666,0.099619
0.33333333333333304,4.666666666666666,0.095104
0.6666666666666661,4.666666666666666,0.091051
1.0,4.666666666666666,0.106347
1.333333333333333,4.666666666666666,0.149456
1.666666666666666,4.666666666666666,0.206879
2.0,4.666666666666666,0.251075
2.333333333333333,4.666666666666666,0.261298
2.666666666666666,4.666666666666666,0.239021
3.0,4.666666666666666,0.204483
3.333333333333332,4.666666666666666,0.177917
3.666666666666666,4.666666666666666,0.162679
4.0,4.666666666666666,0.145285
4.333333333333332,4.666666666666666,0.111554
4.666666666666666,4.666666666666666,0.063171
5.0,4.666666666666666,0.018805
-5.0,5.0,0.1274
-4.666666666666667,5.0,0.018805
-4.333333333333333,5.0,-0.06814
-4.0,5.0,-0.03731
-3.666666666666667,5.0,0.10134
-3.3333333333333335,5.0,0.239258
-3.0,5.0,0.266883
-2.666666666666667,5.0,0.17203
-2.3333333333333335,5.0,0.04913
-2.0,5.0,0.011329
-1.666666666666667,5.0,0.086564
-1.3333333333333335,5.0,0.193193
-1.0,5.0,0.217345
-0.666666666666667,5.0,0.120425
-0.3333333333333339,5.0,-0.022583
0.0,5.0,-0.089708
0.33333333333333304,5.0,-0.022583
0.6666666666666661,5.0,0.120425
1.0,5.0,0.217345
1.333333333333333,5.0,0.193193
1.666666666666666,5.0,0.086564
2.0,5.0,0.011329
2.333333333333333,5.0,0.04913
2.666666666666666,5.0,0.17203
3.0,5.0,0.266883
3.333333333333332,5.0,0.239258
3.666666666666666,5.0,0.10134
4.0,5.0,-0.03731
4.333333333333332,5.0,-0.06814
4.666666666666666,5.0,0.018805
5.0,5.0,0.1274
